cl_id	acaricide	avicide	ectoparasiticide	fungicide	herbicide	insecticide	molluscicide	nematicide	pediculicide	proacaricide	profungicide	proherbicide	proinsecticide	pronematicide	rodenticide	scabicide	schistosomicide
15424															TRUE		
85					TRUE												
4439					TRUE												
5658					TRUE												
15042					TRUE												
5182					TRUE												
5875					TRUE												
7839					TRUE												
14139						TRUE											
4561					TRUE												
2868					TRUE												
1974					TRUE												
88					TRUE												
15650					TRUE												
16919					TRUE												
13241					TRUE												
6359					TRUE							TRUE					
1206					TRUE												
15039					TRUE												
8750					TRUE												
15454					TRUE												
6312					TRUE												
16628					TRUE												
14040					TRUE												
14041					TRUE												
16571						TRUE											
7600						TRUE											
16339						TRUE											
16634						TRUE											
12563				TRUE													
8054					TRUE												
13985					TRUE							TRUE					
15916					TRUE							TRUE					
92					TRUE												
9957				TRUE													
737					TRUE							TRUE					
93								TRUE									
744					TRUE												
1472					TRUE												
1929					TRUE												
3934					TRUE												
16734					TRUE												
5715					TRUE												
3711					TRUE							TRUE					
3851					TRUE												
3869				TRUE	TRUE	TRUE		TRUE			TRUE	TRUE	TRUE	TRUE			
2480	TRUE					TRUE											
8239					TRUE												
15162								TRUE									
6038					TRUE												
3679					TRUE												
7873						TRUE											
8328					TRUE												
7073				TRUE													
6240					TRUE												
3382					TRUE												
8105					TRUE												
16934					TRUE												
3288					TRUE												
3025					TRUE												
3564					TRUE												
12913						TRUE											
13816					TRUE												
6526					TRUE												
7584					TRUE												
1763					TRUE												
2959				TRUE													
13729						TRUE											
10111					TRUE												
1128					TRUE												
15442					TRUE												
2014					TRUE												
14816					TRUE												
2421					TRUE												
1916				TRUE													
6377								TRUE									
1315				TRUE													
5616				TRUE													
9370					TRUE												
102					TRUE												
104	TRUE					TRUE											
110				TRUE													
113						TRUE											
1310				TRUE	TRUE	TRUE											
10690				TRUE													
11124				TRUE													
16371				TRUE													
122					TRUE												
4139																	TRUE
10189				TRUE													
2457					TRUE												
144					TRUE												
16047				TRUE													
15868				TRUE													
151					TRUE												
6086																	TRUE
156					TRUE												
3052				TRUE													
157						TRUE							TRUE				
159					TRUE												
13259						TRUE											
5505	TRUE					TRUE	TRUE										
7761	TRUE					TRUE											
171					TRUE												
6989																	TRUE
13054				TRUE													
182					TRUE												
7498						TRUE											
185						TRUE											
16872				TRUE													
15400					TRUE												
188	TRUE	TRUE				TRUE											
15577						TRUE											
9683															TRUE		
201					TRUE												
207						TRUE											
5237					TRUE												
216					TRUE												
217				TRUE				TRUE									
9529															TRUE		
15448					TRUE							TRUE					
11095		TRUE													TRUE		
225						TRUE											
8871	TRUE																
14842					TRUE	TRUE									TRUE		
8342				TRUE													
15525						TRUE											
4949	TRUE			TRUE													
15589					TRUE												
233					TRUE												
13084						TRUE											
237					TRUE												
14494	TRUE																
3109						TRUE											
243				TRUE													
16747				TRUE													
983						TRUE											
8703						TRUE											
245					TRUE												
7397				TRUE													
2166						TRUE											
6074					TRUE												
248				TRUE		TRUE			TRUE						TRUE		
773					TRUE												
261	TRUE					TRUE											
262				TRUE													
263					TRUE												
10016				TRUE													
2844					TRUE												
2846					TRUE							TRUE					
8438					TRUE	TRUE											
1125				TRUE													
4242						TRUE											
9625		TRUE															
15977							TRUE										
7407	TRUE					TRUE											
5999						TRUE											
11372						TRUE											
288					TRUE												
290	TRUE	TRUE				TRUE		TRUE									
291						TRUE											
12171	TRUE					TRUE											
293					TRUE												
294	TRUE					TRUE											
295	TRUE					TRUE											
299	TRUE							TRUE									
16748				TRUE													
301	TRUE					TRUE											
302	TRUE																
303						TRUE											
8072						TRUE											
305	TRUE					TRUE											
306					TRUE												
307	TRUE					TRUE											
309	TRUE					TRUE											
310					TRUE												
2002		TRUE				TRUE		TRUE									
311	TRUE	TRUE				TRUE											
312	TRUE					TRUE											
313						TRUE											
14064					TRUE												
16626	TRUE					TRUE											
316					TRUE												
317						TRUE											
9269					TRUE												
318				TRUE													
319	TRUE		TRUE			TRUE										TRUE	
6596						TRUE											
321					TRUE												
322					TRUE												
323					TRUE												
1950	TRUE					TRUE											
860					TRUE												
5898	TRUE					TRUE											
5077					TRUE												
6742				TRUE													
344				TRUE													
13643					TRUE												
345					TRUE												
15662				TRUE													
15959					TRUE												
350					TRUE												
4022					TRUE												
16132						TRUE											
16612		TRUE															
15614				TRUE													
352					TRUE												
353					TRUE												
354					TRUE												
2638	TRUE																
355					TRUE												
4491						TRUE											
3856						TRUE											
1875						TRUE											
1874						TRUE											
8004	TRUE					TRUE											
8005						TRUE											
10756	TRUE					TRUE		TRUE									
7294						TRUE											
5900	TRUE					TRUE											
13031						TRUE											
6663						TRUE											
357	TRUE	TRUE				TRUE	TRUE										
1900	TRUE					TRUE											
6063	TRUE					TRUE											
11662						TRUE	TRUE										
8603	TRUE					TRUE											
2613						TRUE											
6703						TRUE											
1865						TRUE											
8102	TRUE					TRUE											
358	TRUE					TRUE											
16647						TRUE		TRUE									
10629						TRUE											
6035	TRUE																
11268	TRUE																
359	TRUE																
360	TRUE					TRUE											
6334						TRUE											
1213	TRUE					TRUE											
6671						TRUE											
361	TRUE					TRUE											
362	TRUE					TRUE											
2865						TRUE											
4838						TRUE											
4072	TRUE																
7003						TRUE											
3698	TRUE	TRUE				TRUE											
5987						TRUE											
4120	TRUE																
363						TRUE											
9946						TRUE											
5890	TRUE					TRUE		TRUE									
16563						TRUE											
16856						TRUE		TRUE									
6121	TRUE					TRUE											
12286															TRUE		
6222		TRUE				TRUE											
6578	TRUE					TRUE											
365	TRUE	TRUE				TRUE											
366	TRUE	TRUE				TRUE											
13562	TRUE	TRUE				TRUE											
7302	TRUE					TRUE											
368	TRUE					TRUE											
6840						TRUE											
4064						TRUE											
7142	TRUE																
16454	TRUE																
3041	TRUE					TRUE		TRUE									
370	TRUE					TRUE											
8880	TRUE					TRUE											
14015						TRUE											
372						TRUE											
8002						TRUE											
2173						TRUE											
4982						TRUE											
6754						TRUE											
11519					TRUE												
12855	TRUE					TRUE											
8077						TRUE											
16711						TRUE											
7883	TRUE		TRUE			TRUE											
373						TRUE		TRUE									
12779	TRUE					TRUE											
374	TRUE					TRUE		TRUE									
5993	TRUE					TRUE											
375	TRUE	TRUE				TRUE											
800	TRUE					TRUE											
15167						TRUE											
4162						TRUE											
4905						TRUE											
4683						TRUE			TRUE								
13886	TRUE					TRUE		TRUE									
2226						TRUE											
4323						TRUE											
390						TRUE											
14179						TRUE											
12754						TRUE											
6787						TRUE											
4400						TRUE											
6060	TRUE																
14193	TRUE																
14973	TRUE																
4268	TRUE																
2043	TRUE																
13248	TRUE					TRUE											
13013						TRUE											
13850						TRUE											
2479	TRUE					TRUE				TRUE			TRUE				
392	TRUE			TRUE	TRUE	TRUE											
8704	TRUE					TRUE											
13635	TRUE					TRUE											
954	TRUE					TRUE											
1796	TRUE					TRUE											
13828						TRUE											
11451					TRUE												
1914						TRUE											
						TRUE											
863						TRUE											
1003						TRUE											
2076						TRUE											
2411						TRUE											
15593						TRUE											
12885						TRUE											
14018						TRUE											
6045						TRUE											
11443						TRUE											
1192						TRUE											
14619						TRUE											
13167						TRUE											
394					TRUE												
12011					TRUE												
396					TRUE												
13399						TRUE											
13343	TRUE					TRUE											
2995	TRUE																
397	TRUE					TRUE	TRUE										
398				TRUE													
2251	TRUE															TRUE	
10028								TRUE									
11305					TRUE												
404						TRUE											
405					TRUE												
3378				TRUE													
14449				TRUE													
9822					TRUE							TRUE					
15905				TRUE													
4059				TRUE													
2438				TRUE													
16763				TRUE													
16293					TRUE							TRUE					
16666					TRUE												
2138				TRUE													
418	TRUE					TRUE											
419				TRUE													
11846				TRUE													
7599						TRUE											
12025				TRUE													
426				TRUE													
1510					TRUE												
427					TRUE												
3244	TRUE																
9877	TRUE					TRUE											
429				TRUE													
9462								TRUE									
2285	TRUE					TRUE											
6847					TRUE												
13645					TRUE												
15670					TRUE												
12072					TRUE												
2105					TRUE							TRUE					
13586	TRUE					TRUE											
11222				TRUE													
9800					TRUE												
14749							TRUE										
13644					TRUE							TRUE					
436				TRUE													
13668	TRUE			TRUE													
15440					TRUE												
8122						TRUE											
3048				TRUE													
6439						TRUE											
9645						TRUE											
443					TRUE												
444				TRUE													
13710						TRUE										TRUE	
3065					TRUE												
10565						TRUE											
2605					TRUE												
445					TRUE												
4143					TRUE												
15773					TRUE												
3807					TRUE												
15524					TRUE												
9376					TRUE												
6887					TRUE												
10916					TRUE												
9986						TRUE											
7206						TRUE											
447					TRUE												
4557						TRUE			TRUE							TRUE	
449						TRUE			TRUE				TRUE			TRUE	
9581						TRUE											
1631				TRUE													
450				TRUE													
451					TRUE												
454	TRUE					TRUE		TRUE									
455						TRUE											
456					TRUE												
459						TRUE											
5860					TRUE												
16913					TRUE												
5226					TRUE												
9653					TRUE												
462					TRUE												
3336				TRUE							TRUE						
1469	TRUE			TRUE													
14042				TRUE													
4546						TRUE											
10219					TRUE			TRUE									
464				TRUE													
467					TRUE												
1804					TRUE												
469					TRUE												
470					TRUE												
12590				TRUE													
16306					TRUE												
1317						TRUE											
7995					TRUE												
473	TRUE					TRUE											
10828								TRUE									
5554						TRUE											
10039				TRUE													
16041								TRUE									
6030				TRUE													
474				TRUE													
10220				TRUE													
9274						TRUE											
478	TRUE					TRUE											
13641				TRUE													
7807					TRUE												
4933				TRUE													
513					TRUE												
3422					TRUE												
6517				TRUE													
3436				TRUE	TRUE	TRUE		TRUE			TRUE	TRUE	TRUE	TRUE			
2291					TRUE												
2214				TRUE													
1969				TRUE													
6169				TRUE													
15077				TRUE													
15838				TRUE													
2650				TRUE													
2646				TRUE													
5079				TRUE													
516				TRUE													
1876				TRUE													
15613				TRUE													
519					TRUE												
13104				TRUE													
2883				TRUE													
4999				TRUE													
3600				TRUE		TRUE											
1295				TRUE													
8411				TRUE													
13581					TRUE												
521					TRUE												
14569					TRUE							TRUE					
4113				TRUE													
522					TRUE												
523				TRUE													
10879				TRUE													
524					TRUE												
5915				TRUE													
8881				TRUE													
2866					TRUE							TRUE					
13835					TRUE							TRUE					
3181				TRUE													
526					TRUE												
4857				TRUE													
2288				TRUE													
527				TRUE													
2737				TRUE													
528					TRUE												
1968					TRUE												
11844				TRUE													
2060				TRUE													
8854					TRUE												
530					TRUE												
15615				TRUE													
531					TRUE												
15760				TRUE													
14579				TRUE													
13950					TRUE												
8564				TRUE													
532				TRUE													
6443					TRUE												
1428							TRUE										
534					TRUE												
3287				TRUE		TRUE					TRUE						
8911	TRUE					TRUE											
9536					TRUE												
536					TRUE												
8907				TRUE													
16918					TRUE												
9990				TRUE													
11461				TRUE													
539				TRUE													
5509						TRUE							TRUE				
3056				TRUE													
543					TRUE												
6173				TRUE													
544					TRUE												
6311				TRUE													
5017					TRUE												
545					TRUE												
4105					TRUE												
15439					TRUE												
547				TRUE													
548					TRUE												
549					TRUE												
550				TRUE													
1780					TRUE												
2440					TRUE												
4974				TRUE													
8064					TRUE												
2082				TRUE													
552					TRUE							TRUE					
4350				TRUE													
5631				TRUE													
11912				TRUE													
13732				TRUE													
10674				TRUE													
9815				TRUE													
6196				TRUE													
6747				TRUE													
5731				TRUE													
10822				TRUE													
6855				TRUE													
9398	TRUE																
560						TRUE											
6051					TRUE												
3049					TRUE												
4081					TRUE												
3383					TRUE												
5392					TRUE												
6768					TRUE												
4488					TRUE												
562					TRUE												
15710					TRUE												
570						TRUE											
2581	TRUE					TRUE											
15944				TRUE													
13022				TRUE													
11323				TRUE													
16284				TRUE													
16011				TRUE													
9465				TRUE													
15937				TRUE													
4122				TRUE													
4497				TRUE													
10791				TRUE													
14522				TRUE													
13489				TRUE													
4880				TRUE													
574					TRUE												
16912					TRUE												
3792					TRUE												
4829					TRUE												
12821				TRUE													
578					TRUE												
1288					TRUE												
6248					TRUE							TRUE					
580					TRUE												
1267					TRUE												
15590					TRUE												
4559					TRUE												
3240				TRUE													
581				TRUE													
7715				TRUE													
583				TRUE													
1697	TRUE																
11306					TRUE							TRUE					
585				TRUE													
9103						TRUE											
1144						TRUE											
586					TRUE												
4365						TRUE											
1027					TRUE												
16529						TRUE											
3775		TRUE													TRUE		
3053						TRUE			TRUE								
3054						TRUE			TRUE								
2504					TRUE												
14200					TRUE												
2202	TRUE					TRUE											
592					TRUE												
593					TRUE							TRUE					
9044				TRUE													
595				TRUE													
15492					TRUE												
835					TRUE												
596					TRUE												
15451				TRUE													
6720				TRUE													
9633				TRUE													
